"name","longitude","latitude"
"ReO-Pr-50-6",-68.4098681396924,49.0431350796081
"ReO-Pr-50-7",-68.4120540030819,49.0429025602463
"ReO-Pr-50-8",-68.4101253134255,49.0430740935746
"ReO-Pr-50-9",-68.4116257106134,49.0430288726992
"ReO-Pr-50-10",-68.4110624985284,49.0429004788806
"ReO-Pr-75-6",-68.4101636745485,49.0429248072708
"ReO-Pr-75-7",-68.4097067108759,49.0429801300147
"ReO-Pr-75-8",-68.4100573158115,49.0430130580392
"ReO-Pr-75-9",-68.410460140972,49.042710379229
"ReO-Pr-75-10",-68.4125674162904,49.0425869872884
"ReO-Mo-50-6",-68.4155230963751,49.042562237928
"ReO-Mo-50-7",-68.4129890669861,49.0428861452303
"ReO-Mo-50-8",-68.4137389794849,49.042724359799
"ReO-Mo-50-9",-68.4127900176134,49.0429384372758
"ReO-Mo-50-10",-68.4142104507096,49.0427091178593
"ReO-Mo-75-6",-68.414858423477,49.0423622649335
"ReO-Mo-75-7",-68.4151185103715,49.042455977259
"ReO-Mo-75-8",-68.4142723863298,49.0425453603549
"ReO-Mo-75-9",-68.4145301687426,49.0424917777326
"ReO-Mo-75-10",-68.4141976147282,49.0423271478083
"ReO-El-50-6",-68.4170391199025,49.0423599253021
"ReO-El-50-7",-68.4159551236632,49.0425180174558
"ReO-El-50-8",-68.4165523765186,49.0424498144563
"ReO-El-50-9",-68.4175530035939,49.0423202659481
"ReO-El-50-10",-68.4167275123058,49.0424473687523
"ReO-El-75-6",-68.4164674511872,49.0421661827797
"ReO-El-75-7",-68.417745576445,49.0420358108905
"ReO-El-75-8",-68.4168505648025,49.0420799393171
"ReO-El-75-9",-68.4176185926169,49.0420164248259
"ReO-El-75-10",-68.4177675232987,49.041946403376
"ReO-Pr-225-6",-68.4094477760626,49.0417509521658
"ReO-Pr-225-7",-68.4101738066881,49.0416429859697
"ReO-Pr-225-8",-68.4102487892703,49.0414858860362
"ReO-Pr-225-9",-68.4121550833883,49.0412811548619
"ReO-Pr-225-10",-68.4117779391155,49.0412877935315
"ReO-Mo-225-6",-68.4148829024422,49.0410184246236
"ReO-Mo-225-7",-68.4134333852771,49.0411228321464
"ReO-Mo-225-8",-68.413371331176,49.0411632077109
"ReO-Mo-225-9",-68.4137827321834,49.0410709098581
"ReO-Mo-225-10",-68.4135913702769,49.0411116142987
"ReO-El-225-6",-68.4173630768715,49.0406974918925
"ReO-El-225-7",-68.4165145545678,49.0408908467108
"ReO-El-225-8",-68.4173249417008,49.0407629003234
"ReO-El-225-9",-68.4181613382266,49.0405495500432
"ReO-El-225-10",-68.4154889357752,49.0409537521327
"ReE-Pr-50-6",-68.4092430356694,49.0432790236602
"ReE-Pr-50-7",-68.4078308017658,49.0435299443163
"ReE-Pr-50-8",-68.4093813973816,49.0433236049552
"ReE-Pr-50-9",-68.4096637621633,49.0433214018832
"ReE-Pr-50-10",-68.4095819634792,49.0431156650946
"ReE-Pr-75-6",-68.4072400905603,49.0433240861399
"ReE-Pr-75-7",-68.4089235836511,49.0430684480067
"ReE-Pr-75-8",-68.4085376426648,49.0431286099799
"ReE-Pr-75-9",-68.4094471522883,49.0430739828792
"ReE-Pr-75-10",-68.4083777454532,49.0431616898462
"ReE-Mo-50-6",-68.4056637102507,49.0438495744976
"ReE-Mo-50-7",-68.4040703360389,49.04427981029
"ReE-Mo-50-8",-68.4062889016548,49.0439048490906
"ReE-Mo-50-9",-68.4064535405329,49.0437498826671
"ReE-Mo-50-10",-68.4062947392895,49.0438612206333
"ReE-Mo-75-6",-68.4059501141823,49.0436189987263
"ReE-Mo-75-7",-68.4055598361499,49.0436514612145
"ReE-Mo-75-8",-68.4066044918917,49.0435611501073
"ReE-Mo-75-9",-68.4051622416419,49.0437284260561
"ReE-Mo-75-10",-68.4052420145296,49.043841855015
"ReE-El-50-6",-68.4028679831144,49.0446491050343
"ReE-El-50-7",-68.4014233433779,49.0451137585575
"ReE-El-50-8",-68.4031535438649,49.044701618064
"ReE-El-50-9",-68.4014155955588,49.0451919612311
"ReE-El-50-10",-68.4015596736138,49.0451423661195
"ReE-El-75-6",-68.4015219033584,49.0446267681019
"ReE-El-75-7",-68.40225130801,49.0444261049188
"ReE-El-75-8",-68.4035418616393,49.0442200302213
"ReE-El-75-9",-68.4029277375238,49.0442613395077
"ReE-El-75-10",-68.4032603413181,49.0441787739704
"ReE-Pr-225-6",-68.4077203383355,49.0419410414719
"ReE-Pr-225-7",-68.4070824886135,49.0420982539933
"ReE-Pr-225-8",-68.4070310324341,49.0421956170512
"ReE-Pr-225-9",-68.4079272601534,49.0419545595551
"ReE-Pr-225-10",-68.4087873702281,49.0416795609604
"ReE-Mo-225-6",-68.4055341722417,49.0425857968785
"ReE-Mo-225-7",-68.4039810075783,49.0429729830108
"ReE-Mo-225-8",-68.4057650227282,49.0425264777484
"ReE-Mo-225-9",-68.4048171984401,49.0425923559802
"ReE-Mo-225-10",-68.4039269715803,49.0428358123664
"ReE-El-225-6",-68.4011992942179,49.0434162269983
"ReE-El-225-7",-68.4028560311391,49.0431922491604
"ReE-El-225-8",-68.4024965417852,49.0432195627699
"ReE-El-225-9",-68.4031784726245,49.0430367356397
"ReE-El-225-10",-68.4013802028095,49.0434195189255
"SiE-Pr-50-6",-68.3956542134177,49.0469955189197
"SiE-Pr-50-7",-68.3960595150392,49.0467983945754
"SiE-Pr-50-8",-68.3944367962269,49.0473189683829
"SiE-Pr-50-9",-68.3964887667078,49.0465689646155
"SiE-Pr-50-10",-68.3959485482265,49.0466290143007
