"name","X","Y"
"ReE-El-225-1",-68.40067383193,49.0436163685872
"ReE-El-225-2",-68.4022696118691,49.0432111588078
"ReE-El-225-3",-68.4024799037049,49.0430780504312
"ReE-El-225-4",-68.4027783418269,49.0431623631541
"ReE-El-225-5",-68.4029109808318,49.0430895794425
"ReE-El-50-1",-68.4013033527214,49.045000507835
"ReE-El-50-2",-68.4033276457385,49.0446759996074
"ReE-El-50-3",-68.4025226872016,49.0447122151538
"ReE-El-50-4",-68.4032862739865,49.0446051671842
"ReE-El-50-5",-68.4027447086033,49.044692933901
"ReE-El-75-1",-68.4017742174671,49.0446560630721
"ReE-El-75-2",-68.4011652912826,49.0446865131918
"ReE-El-75-3",-68.4013833746912,49.0446823708409
"ReE-El-75-4",-68.4030865035116,49.0443445198424
"ReE-El-75-5",-68.4018207057259,49.0445668439014
"ReE-Mo-225-1",-68.4049412953373,49.0425667172602
"ReE-Mo-225-2",-68.4050169348148,49.0425948850517
"ReE-Mo-225-3",-68.4059633187498,49.0423580423812
"ReE-Mo-225-4",-68.4045626629413,49.0428038857753
"ReE-Mo-225-5",-68.4044880430225,49.0426839251239
"ReE-Mo-50-1",-68.4049962564996,49.0441632652257
"ReE-Mo-50-3",-68.4043425424245,49.044159517063
"ReE-Mo-50-4",-68.4040582285111,49.0444238564624
"ReE-Mo-50-5",-68.4040977471388,49.0444634340658
"ReE-Mo-50-6",-68.4039682774838,49.0442815424167
"ReE-Mo-75-1",-68.4048422118425,49.0439972403126
"ReE-Mo-75-2",-68.4055813457622,49.0438054458507
"ReE-Mo-75-3",-68.4044687930626,49.0438632425126
"ReE-Mo-75-4",-68.4058846646692,49.0436396453693
"ReE-Mo-75-5",-68.4064644669867,49.0435671964278
"ReE-Pr-225-1",-68.4065397174744,49.0422437443176
"ReE-Pr-225-2",-68.4078656474627,49.0420290437392
"ReE-Pr-225-3",-68.4063186843326,49.0423759383268
"ReE-Pr-225-4",-68.408186535391,49.0418405951787
"ReE-Pr-225-5",-68.4068372974847,49.0421699860494
"ReE-Pr-50-1",-68.408015674524,49.0435948716223
"ReE-Pr-50-2",-68.4073867319614,49.0435699514779
"ReE-Pr-50-3",-68.408722789116,49.0434256984501
"ReE-Pr-50-4",-68.4074204012339,49.0436172900311
"ReE-Pr-50-5",-68.4094084164404,49.0433115484759
"ReE-Pr-75-1",-68.4093857308649,49.0430540664353
"ReE-Pr-75-2",-68.4079019244394,49.0431147324906
"ReE-Pr-75-3",-68.4095370767841,49.0430015235005
"ReE-Pr-75-4",-68.4080189210344,49.043222363751
"ReE-Pr-75-5",-68.4084723407204,49.0430135120761
"ReO-El-225-1",-68.4181249561488,49.0407020951334
"ReO-El-225-2",-68.4171766963703,49.0408074541308
"ReO-El-225-3",-68.417612631173,49.0406600821591
"ReO-El-225-4",-68.4181008911131,49.0407271544093
"ReO-El-225-5",-68.4181380703738,49.0406033945848
"ReO-El-50-1",-68.4158516674659,49.0426596525154
"ReO-El-50-2",-68.4166701419997,49.0425390789309
"ReO-El-50-3",-68.4167690186468,49.0423891651768
"ReO-El-50-4",-68.4165885855112,49.0425305437747
"ReO-El-50-5",-68.4167839137111,49.0425005152306
"ReO-El-75-1",-68.4180077394823,49.0420862298013
"ReO-El-75-2",-68.4165480649747,49.0422553422621
"ReO-El-75-3",-68.4175672842847,49.0421082492447
"ReO-El-75-4",-68.417237635433,49.042206832063
"ReO-El-75-5",-68.4178932057363,49.0421695643069
"ReO-Mo-225-1",-68.4151078631934,49.0411067743295
"ReO-Mo-225-2",-68.4148822623327,49.0410736405296
"ReO-Mo-225-3",-68.4140245447207,49.0412322922802
"ReO-Mo-225-4",-68.4133835830926,49.041143886486
"ReO-Mo-225-5",-68.4139253147778,49.0410961556086
"ReO-Mo-50-1",-68.413951843493,49.0428421913689
"ReO-Mo-50-2",-68.4131442667778,49.0429178436572
"ReO-Mo-50-4",-68.4138155696576,49.0427217597958
"ReO-Mo-50-5",-68.4134690327273,49.0428277693813
"ReO-Mo-50-8",-68.4138665339706,49.0428164072092
"ReO-Mo-75-1",-68.4152493264415,49.0424495540193
"ReO-Mo-75-2",-68.4136194381273,49.0425702989166
"ReO-Mo-75-3",-68.4154832188107,49.0424017558529
"ReO-Mo-75-4",-68.4127687970608,49.0426896059078
"ReO-Mo-75-5",-68.4132864317554,49.0424671459867
"ReO-Pr-225-1",-68.4107694016465,49.0414902020655
"ReO-Pr-225-2",-68.411478774646,49.0415087756284
"ReO-Pr-225-3",-68.4106841819631,49.041565910254
"ReO-Pr-225-4",-68.4096523226365,49.0417035050831
"ReO-Pr-225-5",-68.4103940287964,49.0416659838865
"ReO-Pr-50-1",-68.4098371643583,49.0431859475752
"ReO-Pr-50-2",-68.4112874147756,49.0430562689544
"ReO-Pr-50-3",-68.4121042455952,49.0429650877757
"ReO-Pr-50-4",-68.4109489245615,49.0431099184064
"ReO-Pr-50-5",-68.4108850594049,49.0429354625779
"ReO-Pr-75-1",-68.4105971707132,49.0428313349715
"ReO-Pr-75-2",-68.4116065268463,49.0426833761766
"ReO-Pr-75-3",-68.410169471707,49.0427608591747
"ReO-Pr-75-4",-68.40994511078,49.0429250867636
"ReO-Pr-75-5",-68.4101425116724,49.0429948967414
"RfE-El-225-1",-68.3727551865857,49.0576792445625
"RfE-El-225-2",-68.371274633247,49.0588544743903
"RfE-El-225-3",-68.3715350294159,49.0586574881497
"RfE-El-225-4",-68.3729019679208,49.0577209866515
"RfE-El-225-5",-68.3725899047405,49.0577429106296
"RfE-El-50-1",-68.3733121677783,49.0595287492718
