name;xcoord;ycoord
SiE-Mo-225-2;239589.440846235;5434648.30246996
SiE-Mo-225-3;239584.313312563;5434637.90547389
SiE-Mo-225-4;239587.796607743;5434635.18314445
SiE-Mo-225-5;239620.648801511;5434674.94831462
SiE-Mo-50-1;239612.292230045;5434861.82800164
SiE-Mo-50-2;239472.489028728;5434780.20478536
SiE-Mo-50-3;239509.812982034;5434803.46468175
SiE-Mo-50-4;239442.528069809;5434769.77187
SiE-Mo-50-5;239532.197353737;5434814.04770401
SiE-Mo-75-1;239514.825084967;5434781.02301699
SiE-Mo-75-2;239500.523376338;5434754.00225311
SiE-Mo-75-3;239488.27361035;5434761.92874365
SiE-Mo-75-4;239617.69929728;5434854.59306085
SiE-Mo-75-5;239580.479668887;5434815.50712421
SiE-Pr-225-1;239517.113727578;5434608.01599114
SiE-Pr-225-2;239432.263563336;5434555.51255257
SiE-Pr-225-3;239401.358776178;5434506.66461163
SiE-Pr-225-4;239367.129237365;5434497.87329991
SiE-Pr-225-5;239408.103995967;5434520.46138511
SiE-Pr-50-1;239278.954950467;5434638.79314515
SiE-Pr-50-2;239393.812317577;5434733.47320382
SiE-Pr-50-4;239385.395383703;5434707.41768311
SiE-Pr-50-5;239354.624857833;5434689.55971387
SiE-Pr-50-6;239429.099019923;5434740.2821427
SiE-Pr-75-1;239333.863795637;5434655.16900224
SiE-Pr-75-2;239311.953872722;5434637.78288169
SiE-Pr-75-3;239430.133886066;5434715.49519967
SiE-Pr-75-4;239314.491587772;5434637.78895756
SiE-Pr-75-5;239341.250491627;5434674.11785532
SiO-El-225-1;236583.385080691;5433959.31616636
SiO-El-225-2;236468.166017472;5433961.90444781
SiO-El-225-3;236538.232912112;5433959.50133809
SiO-El-225-4;236499.780459827;5433973.10120281
SiO-El-225-5;236481.888931146;5433958.43165838
SiO-El-50-1;236637.639925249;5434138.32507785
SiO-El-50-2;236575.891852114;5434139.08774135
SiO-El-50-4;236658.732887664;5434148.41023094
SiO-El-50-6;236539.984821171;5434139.51360152
SiO-El-50-9;236467.707776805;5434138.21670227
SiO-El-75-1;236619.768162651;5434122.84404564
SiO-El-75-2;236582.369859019;5434111.43910784
