"station_id","longitude","latitude"
"ReO-Pr-50-6",-68.4114439824188,49.0428947991393
"ReO-Pr-50-7",-68.4103005281433,49.0430783193081
"ReO-Pr-50-8",-68.4116209638197,49.0430963625996
"ReO-Pr-50-9",-68.4101980655837,49.0432851120729
"ReO-Pr-50-10",-68.410515193438,49.0432010698787
"ReO-Pr-75-6",-68.4102507006154,49.0427644415615
"ReO-Pr-75-7",-68.4100610031487,49.0429545035519
"ReO-Pr-75-8",-68.4123774218778,49.0426795347158
"ReO-Pr-75-9",-68.4110005438205,49.0428566785391
"ReO-Pr-75-10",-68.4112991840551,49.0426502751414
"ReO-Mo-50-6",-68.4130013252703,49.042909686743
"ReO-Mo-50-7",-68.4154162912588,49.0425805767143
"ReO-Mo-50-8",-68.4149419309218,49.0427377558452
"ReO-Mo-50-9",-68.413024783881,49.0427635721495
"ReO-Mo-50-10",-68.4127516173151,49.0429682646859
"ReO-Mo-75-6",-68.4145485831627,49.0425037615672
"ReO-Mo-75-7",-68.4139914156443,49.0425815600345
"ReO-Mo-75-8",-68.4143145341748,49.0424258672031
"ReO-Mo-75-9",-68.4142220080916,49.0425305847426
"ReO-Mo-75-10",-68.4132089012389,49.0424450199252
"ReO-El-50-6",-68.4178657555361,49.0422691158377
"ReO-El-50-7",-68.4180366011277,49.0422182323608
"ReO-El-50-8",-68.4167726825436,49.0423592927319
"ReO-El-50-9",-68.4162904123227,49.0426070161786
"ReO-El-50-10",-68.4158449505152,49.042479843056
"ReO-El-75-6",-68.4175423929838,49.0421053430017
"ReO-El-75-7",-68.415991472489,49.0421644435232
"ReO-El-75-8",-68.4167025671443,49.0420399361999
"ReO-El-75-9",-68.4164071930552,49.0421467758248
"ReO-El-75-10",-68.4182993219357,49.042115211322
"ReO-Pr-225-6",-68.4111227294694,49.0414080990929
"ReO-Pr-225-7",-68.4102648486761,49.0415245025956
"ReO-Pr-225-8",-68.4108335191552,49.0415124282038
"ReO-Pr-225-9",-68.4100479830243,49.041716550672
"ReO-Pr-225-10",-68.4099663899481,49.0415265773415
"ReO-Mo-225-6",-68.4140934979421,49.0411361160182
"ReO-Mo-225-7",-68.413753177923,49.0411755188732
"ReO-Mo-225-8",-68.4143576370106,49.0411912915868
"ReO-Mo-225-9",-68.4144515209308,49.0411209033636
"ReO-Mo-225-10",-68.4149549138484,49.0411059447683
"ReO-El-225-6",-68.4169189361223,49.0408196911637
"ReO-El-225-7",-68.4164368626481,49.0409164874377
"ReO-El-225-8",-68.4180562926986,49.0406015261624
"ReO-El-225-9",-68.4176138538101,49.0408033566229
"ReO-El-225-10",-68.4170598398167,49.0408525260998
"ReE-Pr-50-6",-68.4077480954314,49.0434179718128
"ReE-Pr-50-7",-68.4091099320324,49.0432697805788
"ReE-Pr-50-8",-68.4096401448008,49.0431495475968
"ReE-Pr-50-9",-68.4082726916438,49.0433075124047
"ReE-Pr-50-10",-68.4080089543167,49.0435362806653
"ReE-Pr-75-6",-68.4078765346074,49.0432662171102
"ReE-Pr-75-7",-68.4080843669833,49.0431096027889
"ReE-Pr-75-8",-68.4076314243331,49.0434137026486
"ReE-Pr-75-9",-68.4094779095314,49.0430995971578
"ReE-Pr-75-10",-68.4085682320544,49.0430745698553
"ReE-Mo-50-6",-68.4061901695483,49.0439450222061
"ReE-Mo-50-7",-68.4050208406515,49.0440310127648
"ReE-Mo-50-8",-68.4056464902228,49.0439726233303
"ReE-Mo-50-9",-68.4042990334045,49.0443013729929
"ReE-Mo-50-10",-68.4043147042549,49.0444116170507
"ReE-Mo-75-6",-68.4048543048382,49.0437564342461
"ReE-Mo-75-7",-68.4054387320895,49.0436847053691
"ReE-Mo-75-8",-68.4065953548054,49.0433754687289
"ReE-Mo-75-9",-68.4062774675917,49.0436604392355
"ReE-Mo-75-10",-68.4039004112132,49.0442260092366
"ReE-El-50-6",-68.4018296778811,49.0449482155619
"ReE-El-50-7",-68.4039883974972,49.0444703497888
"ReE-El-50-8",-68.4036277303209,49.0445894498897
"ReE-El-50-9",-68.4025600060052,49.0448739487068
"ReE-El-50-10",-68.4029515419739,49.0446742830032
"ReE-El-75-6",-68.4020660291922,49.0444733802932
"ReE-El-75-7",-68.4032645705202,49.0443762577915
"ReE-El-75-8",-68.4022625896209,49.0444768300534
"ReE-El-75-9",-68.4021246816919,49.0446190632023
"ReE-El-75-10",-68.4033904883689,49.0441930419831
"ReE-Pr-225-6",-68.4066249727759,49.042299050713
"ReE-Pr-225-7",-68.4088258798934,49.0416927860893
"ReE-Pr-225-8",-68.4085122346281,49.0419318608448
"ReE-Pr-225-9",-68.4081970931202,49.0418111310028
"ReE-Pr-225-10",-68.4078027233526,49.0419883077076
"ReE-Mo-225-6",-68.4059393933538,49.042410245404
"ReE-Mo-225-7",-68.4052846060304,49.0426478732819
"ReE-Mo-225-8",-68.4036941142483,49.0430472418392
"ReE-Mo-225-9",-68.4045585773736,49.0427078065538
"ReE-Mo-225-10",-68.4049291256624,49.0427475103942
"ReE-El-225-6",-68.4016089506956,49.0434027288555
"ReE-El-225-7",-68.4005597754838,49.0436302280322
"ReE-El-225-8",-68.4025775167395,49.0431009169461
"ReE-El-225-9",-68.4029966250464,49.0430130967937
"ReE-El-225-10",-68.4006683011634,49.0437151921579
"SiE-Pr-50-6",-68.394262209066,49.0474141666824
"SiE-Pr-50-7",-68.3966501545756,49.0464346688502
"SiE-Pr-50-8",-68.3947811111576,49.047415706023
"SiE-Pr-50-9",-68.3964820793241,49.0465878586695
"SiE-Pr-50-10",-68.3961356424542,49.0466664397924
