"name","longitude","latitude"
"ReO-Pr-50-1",-68.4111143615379,49.042997841372
"ReO-Pr-50-2",-68.4111789938216,49.0430601356324
"ReO-Pr-50-3",-68.4103729685336,49.0430287908979
"ReO-Pr-50-4",-68.4112674144333,49.0430378275409
"ReO-Pr-50-5",-68.4111037571632,49.042952793706
"ReO-Pr-75-1",-68.4103628285939,49.0428671847042
"ReO-Pr-75-2",-68.4108037573468,49.0427622092374
"ReO-Pr-75-3",-68.4099524325671,49.042956081617
"ReO-Pr-75-4",-68.4102776640587,49.0428216368675
"ReO-Pr-75-5",-68.4121267327292,49.0426022900103
"ReO-Mo-50-1",-68.4141478797138,49.0427358399394
"ReO-Mo-50-2",-68.4156251362141,49.0424218548769
"ReO-Mo-50-3",-68.4143681667148,49.0426545479546
"ReO-Mo-50-4",-68.4134910267683,49.0426972200474
"ReO-Mo-50-5",-68.4128268688033,49.042795390628
"ReO-Mo-75-1",-68.414100274162,49.0424125675899
"ReO-Mo-75-2",-68.4143953613677,49.0424213159366
"ReO-Mo-75-3",-68.4131208399524,49.0424692433605
"ReO-Mo-75-4",-68.4129776496372,49.0424356211922
"ReO-Mo-75-5",-68.4151883158633,49.0424027672416
"ReO-El-50-1",-68.4170454043577,49.0424952944055
"ReO-El-50-2",-68.4184029116535,49.0422706394744
"ReO-El-50-3",-68.4180966896466,49.0421924982092
"ReO-El-50-4",-68.4174590853589,49.0423861656962
"ReO-El-50-5",-68.4172048964663,49.0422691075411
"ReO-El-75-1",-68.4175699468739,49.0420059407082
"ReO-El-75-2",-68.4165473499172,49.0421382737338
"ReO-El-75-3",-68.4184652349965,49.042171259596
"ReO-El-75-4",-68.4165176779185,49.042206144893
"ReO-El-75-5",-68.4157665009465,49.0422095574628
"ReO-Pr-225-1",-68.411272338407,49.0413744494719
"ReO-Pr-225-2",-68.4105926974865,49.0415551949714
"ReO-Pr-225-3",-68.4095901459951,49.0416336277926
"ReO-Pr-225-4",-68.4120164992241,49.0414709446562
"ReO-Pr-225-5",-68.4094830355811,49.0416193848286
"ReO-Mo-225-1",-68.4140266448125,49.0410930199852
"ReO-Mo-225-2",-68.4149420799113,49.0411103648894
"ReO-Mo-225-3",-68.4150543427614,49.0409585664625
"ReO-Mo-225-4",-68.415022594489,49.0410507095876
"ReO-Mo-225-5",-68.4141726540134,49.0410301347109
"ReO-El-225-1",-68.4153643177743,49.0409110272163
"ReO-El-225-2",-68.4154218551151,49.041035515077
"ReO-El-225-3",-68.4167424017836,49.0407601761627
"ReO-El-225-4",-68.4156755174622,49.0408499716822
"ReO-El-225-5",-68.4155395905543,49.0410630245279
"ReE-Pr-50-1",-68.409567475686,49.0431883638634
"ReE-Pr-50-2",-68.407587241633,49.0435525087166
"ReE-Pr-50-3",-68.4076693242836,49.043633961118
"ReE-Pr-50-4",-68.4080606970208,49.043560426533
"ReE-Pr-50-5",-68.406999821461,49.0437175158519
"ReE-Pr-75-1",-68.4081620920959,49.0431787703151
"ReE-Pr-75-2",-68.4081505261739,49.0432176695447
"ReE-Pr-75-3",-68.4083760016747,49.0431879379996
"ReE-Pr-75-4",-68.4079950025612,49.0430907712156
"ReE-Pr-75-5",-68.4087220475126,49.0429666756928
"ReE-Mo-50-1",-68.4040575023415,49.0444815514337
"ReE-Mo-50-2",-68.4052529946383,49.0440907098551
"ReE-Mo-50-3",-68.4054457691631,49.0438775293386
"ReE-Mo-50-4",-68.4052662701297,49.044162737331
"ReE-Mo-50-5",-68.4056842625654,49.0439538473172
"ReE-Mo-75-1",-68.4053167562931,49.0436505782959
"ReE-Mo-75-2",-68.4050988796515,49.0436960817858
"ReE-Mo-75-3",-68.4056370839144,49.0435728465791
"ReE-Mo-75-4",-68.4047964567691,49.0439737545267
"ReE-Mo-75-5",-68.405820129167,49.0437669317993
"ReE-El-50-1",-68.4032522476607,49.0447053543004
"ReE-El-50-2",-68.4018832560766,49.0449098097584
"ReE-El-50-3",-68.4035471854589,49.0443733810572
"ReE-El-50-4",-68.4039634187958,49.0444714928313
"ReE-El-50-5",-68.4013039894911,49.0452181847439
"ReE-El-75-1",-68.4031663866172,49.0444398221212
"ReE-El-75-2",-68.4017622123615,49.0446223223573
"ReE-El-75-3",-68.4032209622455,49.0441987854911
"ReE-El-75-4",-68.4024479847577,49.044539748838
"ReE-El-75-5",-68.40280751401,49.0444080425086
"ReE-Pr-225-1",-68.406461429269,49.0424066673285
"ReE-Pr-225-2",-68.4072276101165,49.0421379779325
"ReE-Pr-225-3",-68.4074402344456,49.0421832052453
"ReE-Pr-225-4",-68.4070013298049,49.0421721942451
"ReE-Pr-225-5",-68.4066325300538,49.0423734885892
"ReE-Mo-225-1",-68.4037249439262,49.0429768020622
"ReE-Mo-225-2",-68.4045551439103,49.0427355103868
"ReE-Mo-225-3",-68.4037972637082,49.0428511691116
"ReE-Mo-225-4",-68.4039698010712,49.0427409182787
"ReE-Mo-225-5",-68.40470783227,49.0427717039173
"ReE-El-225-1",-68.4006908584569,49.0436228687634
"ReE-El-225-2",-68.4025755835003,49.0432364270348
"ReE-El-225-3",-68.4014072160328,49.0433508379238
"ReE-El-225-4",-68.4018494792929,49.0433332130123
"ReE-El-225-5",-68.401517274339,49.0434395919074
"SiE-Pr-50-1",-68.3947332432803,49.0472728706789
"SiE-Pr-50-2",-68.3949214780247,49.0471056402744
"SiE-Pr-50-3",-68.3952925194415,49.0471753047188
"SiE-Pr-50-4",-68.3953106528704,49.047098638046
"SiE-Pr-50-5",-68.3955075760054,49.0469655770538
